userName,score,at,content,Gameplay,Visual,Performance,Feature
Blezz,2,2023-04-26 6:41:10,"Untuk gameplay sudah bagus, dari segi grafiknya juga sudah sangat bagus, tapi masih banyak sekali bug yg ada, terutama pada gachanya kadang² tidak muncul apa², dan saat membuka profil selalu ada glitch, dimohon agar segera diperbaiki ya min Terimakasih.",1,1,-1,1
Riki.muhammad.sahputra,5,2023-04-28 8:12:50,"Untuk gameplay, story, udah mantap banget, game turn base terbaik yang pernah gua mainin, cuman saran sih kalo bisa tambahin slot character buat battle sih, soal nya kalo nya 4 slot doang dikit banget untuk sebuah game turn base yang biasa gua mainin,gua sebagai player jujur kebingungan ngatur line up buat nyerang musuh karena minimnya slot character yang disediakan, apalagi kalo mau farming item buat character jadi susah. Tapi untuk story, gameplay udah bagus aja kok. Salut sama hoyoverse",1,-1,1,1
shadow junior,4,2023-05-05 4:01:16,"Game honkai star rail ini bagus sebenarnya,cuma masih banyak kekurangan. Yang pertama ga bisa lompat,karena kebiasaan main genshin,jadi selalu bingung,kok gaada tombol lompat :'),yang kedua gabisa skip cerita(cuma bisa pas ngulang cerita aja)tolong adain fitur skip cerita,ini yang paling penting,karena jadi kesannya kebanyakan story dan ngebosenin(karena gabisa di skip). Dan juga kadang suka bug,nah bug juga harus dibenerin lagi,game ini sebenarnya masih banyak bug yang harus diperbaiki. Cmiiw",1,-1,-1,-1
FAIZAL DRW,5,2023-06-08 3:08:00,Permainaya bagus sih tapi kalo bisa lv karekter bisa sampai 200 biar perjalannya gemenya panjang kalo cuma 80 kurang. saya ingin bermain geme ini untuk waktu yg lam kalo cuma mentoknya lv karekter 80 mungkin cuma 8 bulan main dah mentok semua jadi munya musuh makin susah dan lv karakter lebih banyak dan jaln ceritanya lebih panjang. Karna saya sangat suka game ini yah walupun saya pertama cuma nyoba geme ini eh tiba tiba kesenegan,1,-1,-1,-1
Melvin Agelus,5,2023-06-22 10:29:48,"Hmm.... Visual oke, lebih ringan dari Genshin, sistem gacha dan sistem pertempuran yang memberikan suasana baru, sangat bagus deh.",-1,1,1,1
Dimas Permadi,5,2023-05-01 6:20:01,"Secara keseluruhan sangat bagus, game turn base yg tdk melupakan ciri khas nya. Secara masih ada permasalahan, seperti, gambar tombol normal attack yg hilang (muncul hanya berupa tombol bulat, tanpa gambar). Sekian terima kasih, saya hanya ingin tidur nyenyak.",1,-1,-1,-1
Seiyuu,4,2023-04-27 6:43:19,"Mohon maaf sebelumnya kepada pihak dev, sebetulnya saya tidak memiliki keluhan atas grafis, gameplay atau apapun itu. Tpi ada satu bug pada saat saya menjalankan tutorial yang mana saya harus stuck dikarenakan bug tersebut (bug ini ada di awal tutorial saat karakter yang dimiliki masih 2, kafka dan silver wolf. Pada saat saya melawan salah satu musuh dengan silver wolf untuk pertama kali dan ingin menggunakan ultimatenya, tiba tiba game stuck dan tidak dapat dilanjutkan). Itu saja terima kasih.",1,1,-1,-1
Cornelius Willsen,5,2023-06-21 18:32:57,Game sangat bagus Story game nya menarik✌️✌️ Karakter nya juga bagus dan keren-keren😉😉 Note: kalau bisa tolong di buat kan sistem reset level character di dalam game Terima kasih,1,-1,-1,-1
farrelga yodha,4,2023-05-12 7:50:28,"Gua naikin bintangnya, udah mulai ada kemajuan pada sistem gamenya. Mulai dari kelancaran bermain di spek entry level mulai lancar(gua mainnya di server tw) tapi untuk sinyal masih sangat lemot dan jaringan itu terkadang merah dan tidak seimbang, kadang lancar kadang lemot banget. Sama satu lagi kalo pas scene jangan terlalu berat dong buat jalanin scene apalagi pas story. Ok gutu aja semoga semakin disempurnakan lagi Hoyoverse",1,-1,-1,-1
ライハンRAIHAN,4,2023-04-29 14:30:47,"Tolong, untuk grafik di handphone bisa di ubah min, saya ganti grafik normal tapi layarnya jadi putih, agak ga enak diliat kalau sangat rendah grafiknya. Dan untuk grafik story sudah bagus. 👍",-1,1,-1,-1
Maitra Vargas,4,2023-05-27 14:59:31,"Ceritanya bagus, gameplay - nya juga, dan saya suka lihat world - nya yang masing - masing punya keunikan sendiri. Cuma masalahnya game ini terlalu boros di baterai dan juga masih ada lag parah di cutscene nya. Suaranya putus - putus berdenging. Mohon ini dioptimalkan agar sama mulusnya dengan Genshin Impact.",1,-1,-1,-1
rafsan 266,3,2023-07-13 1:05:25,Saya menyarankan gamnya soalnya seru.tapi saya beri bintang 3 karena di segi grafik nya terkadang memakai resolusi rendah.mohon pihak pengembang untuk memperbaiki lagi 🙏🙏🙏🙏,1,-1,-1,-1
Salwa Nafi'ah,5,2023-05-01 12:03:00,"Overall, selama main game ini selama sekitar 4 harian, saya malah jadi kecanduan main gamenya. Awalnya saya merasa bakalan cepat ngedrop main game ini karena sistemnya turn based. Tapi ternyata sistemnya unik, gameplaynya juga menjadi lebih santai. Selain itu, karakter gratisan yang didapat saat awal main juga beneran berguna dan bagus. Juga, dari segi karakter, interaksi antar karakter, juga storynya terasa lebih hidup, dan nggak ngebosenin. Semoga gamenya terus berkembang :D",1,1,-1,1
Awang ̇,3,2023-06-30 18:42:53,"Sebenernya game nya dah bagus kalo bisa di kurangi lah detail atau apanya biar hp Snapdragon kepala 6 pada bisa main,sama bikin biar ada fitur hemat baterai,kek di honkai impact 3,boros baterai banget bikin hp panas,masa honkai impact 3 Ama ni hsr lebih lancar impact 3",1,-1,-1,-1
Hadif Prajunaldi,4,2023-07-02 0:20:58,Oke buat gameplay sih gk masalah cuman nih pas mau login nih ada masalah pada render nya yang dimana pada 1.0 ok gk ada masalah walaupun ada lag dikit Cuman sekarang 1.1 kek gimana ya pas login nih kereta nya tba² ilang pas udh di in game emang GK ada keretanya kereta nya aja ilang Gw gk tau mengapa cuman harus di perbaiki bug render yang ini Biar bisa kek biasa nya Buat render ini bermasalah pada mediatek Helio p35 Karena ini hp iya ada vulkan cuman v 1,1,-1,-1,-1
2000ARPK,5,2023-07-19 3:28:34,Teruntuk mihoyo/hoyoverse yng terhormat. Ini udh kesekian kalinya saya lawan cocolia dn selalu terputs dri jaringan pas battle berakhir pdhl jaringan gua oke² ae malah game yang lain lancar jaya. Gua kn manusia biasa ye gua pnya bates kesabaran cok. Tolong Perbaiki Kawan!!. Saya msh mempertahankan bintang 5ny krna msh ad kesabaran. Terimakasih,-1,-1,1,-1
agung pratama,1,2023-06-26 0:38:55,"Gameplay nya bagus gak patah2, mantep lah ,tapi kenapa pas saat animasi cut sin nya ngeleg padahal saya pakek Snapdragon 720g ,tolong di perbaiki lgi",1,-1,-1,-1
Kochou Shinobu,5,2023-04-27 15:56:04,"Keren penyimpanannya juga ga banyak beda dari genshin/honkai impact, tapi dalemnya lumayan berat buat HP menengah kebawah. Mekanisme fightnya juga ga bosen, tapi ya untuk level pemain yang di bawah 30 lawan bos masih belum bisa demeknya terlalu sakit. Dan klo bisa tambahin lagi lagu"" Backsound dalam gameplay ,backsound nya kurang seruh gak kaya genshin. Itu aja untuk sekarang overall ceritanya menarik.",1,-1,-1,1
Ikbal Dupiko,4,2023-05-03 13:37:22,"Game nya seru walaupun style turn base tetapi lumayan ask untuk dimainkan dengan santay. Banyak reward,story yang wow. Dan map nya bisa kita jelajahi kayak genshin walaupun gak mirip"" amat dan tema cerita di masa depan kek honkai. sayangnya jaringannya lemah banget walau internet di game/aplikasi lain cepat,serta untuk login juga error 2-3 lebih. Main beberapa jam pemakaian baterai bener bener boros, serta ""stamina"" untuk mengumpulkan bahan yang terbatas, dll mohon update berikutnya di perbaiki",1,-1,-1,-1
Muhammad Akbar Nugroho,3,2023-07-19 2:51:18,Gameplay bagus tapi selalu kalo login ada masalah padahal login genshin lancar aja Tambahan: Habis praunduh update setelah update disuruh unduh ulang otomatis Kouta yg dibutuhkan jadi double,1,-1,-1,-1
Faaza aaa,4,2023-06-07 7:18:35,"Sekarang kalo mau login suka error, padahal sinyalnya bagus. Unduh data gagal terus, jadi gak bisa masuk ke gamenya. Sampai saat ini, saya masih tidak bisa masuk ke game. Huhu...tolong diperbaiki ya hoyoverse :'(",-1,-1,-1,-1
Cxozy Lyx Wielzy,3,2023-06-09 0:00:36,"Maaf, setelah update kemaren game jadi sering freeze/stuck, banyak glitch dimana-mana, suara yang patah-patah dan kadang hilang, mohon di tanggapi, banyak event yang terlewat hanya karna ini, terima kasih",-1,-1,-1,-1
SyrupMaple,2,2023-06-13 2:45:31,drop item untuk upgrade terlalu pelit. trailblaze power juga terlalu sedikit. tolong juga untuk memukul musuh atau menggunakan skill jngan dikasih jumlah energi / energi nya terlalu sedikit,-1,-1,-1,-1
Istrinya Natsuhiko,5,2023-06-07 2:29:41,"What a good game!! Game story nya bagus ditambah pemandangan di kota kota nya juga cantik, sistem gachanya ya oke, game turn base nya sangat good, dan bisa ngatur ekspresi wajah karakternya. Jadi seneng liat mas Jing Yuan cemberut 😳(⁠●⁠♡⁠∀⁠♡⁠)",1,1,-1,1
Ahmad Fauzi,2,2023-06-08 22:56:10,"Seteah update malah muncul banyak banget bug. Buka menu karakter malah ngecrash 🙄 selesai battle malah dark screen, abis itu malah forced close 😐 moga cepet² di benerin sih biar ga banyak yg tambah kecewa",-1,-1,-1,-1
Dimas Agung Hariyanto,5,2023-06-10 12:05:38,"ini adalah game terbaik yang pernah saya main kan Jalan cerita sangat menarik dan berkesan, pertarungan melawan monster dengan tingkat kemenangan 50/50 ( stat karakter seadanya) yang membuat dada berdetak kencang menjadi kesan yang luar biasa menyenangkan nya , sayang perolehan karakter bintang 5 sangatlah sulit dah harus di warp 70an baru dapat....semoga kedepannya akun saya punya keberuntungan tinggi sewaktu gacha xD",1,-1,-1,-1
Vall Ayaa,2,2023-06-08 0:08:08,"Saat loading screen sering ada tulisan ""login error"" akibatnya gw gk bisa ngeklaim express supply gw soalnya aku gatau dah dapet apa belum. Tolong yang itu diperbaiki padahal sinyalku buat lain² bagus tapi buat main ini game kadang suka nge lag.",-1,-1,-1,-1
Fadinda Arafa,3,2023-06-11 2:30:18,"Ada masalah di bagian login nya Aku mau login tapi selalu keluar-keluar melulu atau ngefreze gitu, jadi tolong mihoyo benerin bug ini🙏🏻 Aku mau login hsr tapi selalu ngefreze Jika ini adalah bug tolong benerin, tapi kalau ini adalah masalah ram hp ku, aku akan install ulang. Jadi tolong mihoyo informasinya🙏🏻",-1,-1,-1,-1
just a random netz,5,2023-06-07 2:53:04,"overall game ini buat kalian yg sibuk g smpet main game yg butuh bnyk waktu, karena sistem nya yg turn base dan bisa auto. dan yg pasti karakter dan grafiknya emg gaperna mengecewakan sih kalo mihoyo!",1,1,-1,-1
Najwa Putri Ramadhani,3,2023-06-08 10:52:10,"Untung Honkai saya bermasalah dengan grafik, grafik nya saya rubah paling rendah-paling tinggi kenapa masih ada bintik"" gitu ya?? Dan saya jika masuk honkai nya suka nge crash ini, minta tolong untung dev nya🙏🏻🙏🏻",-1,-1,-1,-1
Pohebe 0000,3,2023-06-21 7:42:15,"Gamenya bagus iya. Tapi semenjak update 1.1 setiap kali beres baku hantam selalu layar jadi hitam terus ditungguin pun ga muncul apa-apa. Mohon segera diperbaiki, lama-lama bete juga kalau begini",1,-1,-1,-1
Rn ST_ID,1,2023-06-07 1:24:02,"*update... Kekesalanku di honkai star rail... Baru kemaren praunduh dg size 7,1 GB... Dan setelah update game diplaystore, malah disuruh download lg dg total 6,4 GB... Dan setelah nyoba cek verifikasi file update, Malah minta download ulang dengan total size 7,7 GB... Buat Player mobile, kuota internetnya dikuras habis... Padahal baru patch 1.1 tp sudah segini banyaknya dikuras.... Trs gimana nanti next patch nya ?",-1,-1,-1,-1
khalaqul khairi,4,2023-06-17 20:31:28,"Overall bagus, Game RPG TurnBased good, Semi OpenWord good Saya saran game seperti ini harus ada yang namanya PVP Arena, Jika ini game nambahi PVP Arena, saya yakin makin banyak yang suka, seperti game TurnBased lainnya (Blue Archie, SAO, dll) Atau Clan Word Boss, itu bagus juga, agar ada sosialisasi player, itu aja sarannya Untuk minus, masih ada bug, layar sering hitam saat selesai battle padahal HP saya pengeluaran baru, FPS sering drop padahal jaringan bagus, itu saja mungkin. Thanks H.",1,-1,-1,-1
Luthfi Musyaffa,4,2023-06-21 9:41:21,"Gamenya bagus banget tapi pas kereta star rail di awal game waktu login itu berat banget animasi loadingnya, sampai patah patah untuk HP helio g99 saya, tetapi waktu di ingame lancar banget. Jadi saran untuk developer mohon di stabilkan untuk login dan loading screen agar lancar untuk HP low sampai mid spek. Terimakasih",1,-1,-1,-1
Ibrahim absor Ilmi,4,2023-06-16 15:08:45,"Voice Cut scene nya kadang agak ngebug(suaranya patah patah). Untuk lain-lainnya sudah bagus, mungkin butuh sedikit pengoptimalan",1,1,-1,1
Mohamad Dias Lukman Setiawan (Dias),3,2023-06-20 8:01:27,"Tolong dong Hoyovers, ini setiap selesai battle selalu hitam layarnya, ga ada masalah overheat atau chipset yang ga memadai, jadinya harus login ulang berkali kali. Yakali 855 ga bisa ngangkat game ini",-1,-1,-1,-1
Chrismario,2,2023-06-16 15:18:00,"Bagus aja gamenya rata"" game rpg anime open world tapi yang ngeselinnya buat player mobile yg spek hpnya menengah kebawah, itu ngeselin banget kalo mau download bahasa lain, soalnya kalo pas buka apk lain/ pas matiin hpnya pasti kestop kalo gak kereset, ini tolong dibenerin lah saya juga mau nikmatin yg bahasa yg lain juga.",1,-1,-1,-1
Kelana Reeze,1,2023-06-20 15:24:43,".habis update malah gak karuan jadinya,log out sendiri pas kembali login malah kembali ke level awal padahal sudah level 40 malah balik main ulang jadi males main sudah sebulan lebih main aman""sj lha ini malah ngulang lagi payah gak recommend game ini..👎🏻👎🏻👎🏻 .masih mending genshin impact setelah update tidak pernah ada masalah apapun sangat aman untuk akunya.",-1,-1,-1,-1
shiti sholikhah,4,2023-06-15 11:19:43,Tolong diperbaiki ping nya...padahal sinyal bgs tp ping merah mulu...dan waktu login sering bgt eror dan update 1.1 malah tambah berat padahal penyimpanan masih banyak.,-1,-1,-1,-1
Rimuko,5,2023-06-07 1:27:45,"Saat cutscene, entah kenapa berat banget, pas gameplay lancar parah, tolong di perbaiki. kayanya pas cutscene itu bukan video tapi real game yang resolusinya di highkan:v",1,-1,-1,-1
Futoru Kun,2,2023-06-08 2:24:50,Gamenya bagus tapi masalahnya game ini selalu login gagal eror.dari itu saya kecewa dengan game ini dan setelah update versi terbaru sekarang malah nambah dan tidak bisa masuk sama sekali ke gamenya login eror terus mohon bantuannya kepada developer perbaiki gamenya sering keluar waktu download data nya dan itu saja atas keluhan saya semoga cepat di tanggapi terimakasih.,1,-1,-1,-1
The darkness,4,2023-06-19 10:59:36,"Di versi ini ada bug, ga ada yg ke render tempat nya cuma warna putih dan bintang saat di kreata(tolong di perbaikin)ak udah seneng banget main hsr tapi bug nya terlalu parah di hp mediatek p35",-1,-1,-1,-1
Achmad Habibie Alfaqih,5,2023-06-07 11:17:55,"overall game ini bagus dari segi grafis, story, mekanik, karakter, gacha, dll, karena saya sudah memainkan nya lumayan lama karena game ini menghadirkan story yang cukup seru untuk sekelas game rpg rpg yg lain nya, dan fitur fitur yang dibawakan game ini juga gk kalah menarik seperti fitur autobattle yang membantu ketika sedang ingin santai bermain, waifu & husbu di game ini juga wangy wangy seperti game pendahulunya, intinya secara keseluruhan game ini bagus dimata saya",1,1,1,1
mrh_1506,3,2023-06-07 3:05:31,"Pas animasi cut scene sama animasi battle nya masih frame, freeze dan patah patah sama beberapa bug kayak kolam air dan kristal di belobog jadi warna hitam tapi buat sisa nya udh paling the best lah hoyoverse semoga kekurangan di game HSR bisa segera di FIX 👍🏻✨ Soalnya di genshin udh ngga ada masalah apa apa",1,-1,-1,1
Vladimir Ivan Koroh,3,2023-06-19 11:17:13,"Maaf tapi game nya setelah update malah semakin tidak stabil dalam fps yang kadang sampai freeze Entah karena fluktuasi jaringan atau hal lain, namun hal ini cukup mengganggu pengalaman bermain game turn-base rpg",-1,-1,-1,-1
Denis Prawira putra,5,2023-06-15 10:01:49,"Secara keseluruhan, Honkai Star Rail adalah game yang luar biasa dengan grafik yang memukau, gameplay yang seru, dan cerita yang menarik. Bagi para penggemar game aksi dan petualangan, Honkai Star Rail adalah pilihan yang tepat.",1,1,1,1
Sano Kara,1,2023-06-21 3:15:01,"Jaringan nya ga optimal , soal jaringan nya ada bug masa main serasa make cloud kayak masi ngedownload padahal udah full data , dan skarang malah susah login , tolong diperbaiki soal jaringan nya , dan soal grafik tolong dimuluskan susah main ram 3 biar hp kentang lancar main nya",-1,-1,-1,-1
Clairine claire,4,2023-06-12 5:16:14,"Game ini bagus grafiknya. Desain karakternya juga oke, tapi loadingnya lama banget dan pas mau dimainin malah error jadi gak bisa main",-1,1,-1,-1
Poetra,4,2023-06-08 15:10:14,"Min, cuma mau bilang kenapa kalo pas buka menu opsi karakter layar screenku sering render dulu / black screen nya lama padahal kalau dibuat adventure atau farming relic dsb. aman aman aja",-1,-1,-1,-1
Byta,1,2023-06-21 4:06:44,"Terlalu banyak eror, saat sedang pertempuran tiba tiba otomatis keluar, layar menjadi hitam dam susah untuk login ulang. Jadi saya harus mengulang kembali pertempuran yang hampir selesai. Mohon diperbaiki. Karna sebelum update 1.1 saya tidak ada kendala..",-1,-1,-1,-1
Nararya Wijaya Kusuma,5,2023-06-21 0:55:47,Thanks banget hoyoverse bug nya sudah di perbaiki 🥰😘🥳 Tapi aku ada bug satu lagi di luofu yang di starskiff jetty yaitu bug nya saat ingin berlari efek visual yang seperti aurora dan yang biru² itu nembus jadi tolong di perbaiki ya. love you hoyoverse 😚,-1,-1,1,-1
Dean Rizal,5,2023-06-13 6:19:15,"Bagus banget....Banyak event gratis buat Gacha terus storynya juga ga kalah menarik sama Genshin. Malahan menurutku pribadi ini jauh lebih bagus sih daripada Genshin sama Honkai Impact 3. Soalnya Star Rail itu simple (Karena RPG turn based sih) Kalau Genshin kan Open World Fight. Cuman buat kalian yang mungkin rada mumet main Genshin, dan mau coba game hoyoverse lain, ini cocok banget sih!!!.",1,1,-1,-1
Fithria Nurlaila,2,2023-06-17 14:29:40,"Tidak bisa login sama sekali, sejak update 1.1 tidak bisa memainkan, saat login di awal game forse close udah saya uinstall ulang berkali kali tidak bisa, padahal jaringan lancar dan memory hp masih banyak:(",-1,-1,-1,-1
Muhammad Ilman Rasyid,4,2023-06-12 17:35:35,"Di hp Poco X3 GT lancar jaya tidak ada kendala, cuman ya saat lagi loading masuk in game itu kadang-kadang lamanya minta ampun. Tolong untuk developer diperbaiki lagi agar memudahkan para pemain.",-1,-1,1,1
Shafira Diandra,3,2023-06-20 11:55:22,"Sebelum update hrs load berkali2 sampe 3 kali baru bisa, skrg setelah update malah sering forceclose. Tolong banget ini, pdhl main buat main Genshin bisa, walaupun revolusi rendah. 🙏",-1,-1,-1,-1
Zemi Auliya,3,2023-06-08 16:09:42,"Masih ada kendala saat menyelesaikan pertandingan layar tiba2 blank/hitam dan tidak merespon. Mohon dapat diperbaiki, untuk segi lainnya udh ok.",-1,-1,-1,-1
Eka Farih,1,2023-06-09 9:24:38,"g bisa masuk akun setelah update 1.2. kirain masalahnya karena lupa password tp waktu mencoba reset tetap di anggap password dan id salah dan akhirnya gak respon lebih lanjut dan kembali ke halaman login lagi, tolong developer bagaimana ini ?",-1,-1,-1,-1
Sulangsih 1972,1,2023-06-08 10:50:30,"Sejak update 1.1, jadi force close mulu masih banyak bugnya di android tolong segera diperbaiki saya jadi tidak bisa mainkan gamenya.",-1,-1,-1,-1
Rama Nugraha,1,2023-06-12 1:36:22,"Untuk Dev nya mohon di perbaiki lagi, kadang suara di story patah patah, kadang fc sama black screen (meskipun jarang), sama itu replay event/pojok nostalgia itu hapusin aja, g ada gunanya memenuhin memori HP saja",-1,-1,-1,-1
Melani Mel,1,2023-06-17 0:27:15,"Ko susah masuk ya? Padahal sebelum update Ini ga ngelag banget semejak update ngelag banget di bagian login aja udh lemot pas mw masuk ke in game gak bisa masuk malah crash, minimal kurangi gitu kasihan hp kentang ga bisa masuk in game udah gitu belum daily",-1,-1,-1,-1
Sawung Pranata,3,2023-06-21 9:41:43,Untuk pihak developer game ini tolong optimalkan lagi game untuk perangkat HP nya soal nya meskipun udah diatur ke grafik rendah tetap ada lag bahkan sampai frame parah padahal spesifikasi HP sudah mumpuni buat game ini tolong di perbaiki lagi game nya dan optimalkan lagi game nya,-1,-1,-1,-1
ismail haniyah,3,2023-06-07 8:24:58,Semenjak update versi 1.1 setiap login pasti ada tanda eror dan animasi lobi nya aneh padahal pada versi sebelumnya biasa-biasa aja kuharap dapat perbaikan secepatnya,-1,-1,-1,-1
Suna Syaputra,4,2023-06-17 13:36:46,"Apakah hanya sebatas ini permainan honkai star rail.. Gacha dan hanya menunggu stamina.. ada baiknya hoyo verse melihat seperti game seven knight 2, dari segi dongeon, party global, PVP, dan berbagai macam item, agar player tidak cepat bosan.",-1,-1,-1,-1
Putri Nabila,3,2023-06-20 6:24:21,Game nyaa bagus tapi stlah update knpa saya tidak biaa login? Dan saat akan mendownload data update suka keluar sendiri saat di coba berkali² ttp saja keluar sendiri pdhl penyimpanan saya masi banyk.mohon balasan nya,1,-1,-1,-1
Navandra Al,1,2023-06-12 23:34:08,"Untuk game bug saat login sudah di fix, yang saya tidak suka dari game ini adalah hasil spin banner tidak pernah dapat karakter utama di banner...apakah developer nya sengaja atau gimana?",-1,-1,-1,-1
Tjoe Hui eng,4,2023-06-08 7:28:15,Gamenya sudah sangat bagus dan menarik bagi saya tetapi kenapa saya tidak bisa login kedalam game padahal sudah di update ke versi 1.1 dan saya sudah menunggu waktu maintance dan masih tidak bisa login dan malah muncul error' code 1001_3 kenapa ya saya mohon untuk di balas 🙏 karena saya sangat ingin memainkan game ini lagi tetapi karena tidak bisa login gameplay saya jadi terhambat.,1,-1,-1,-1
wildan af,3,2023-06-17 9:43:48,"Bagus bgt overall utk game nya dri segala aspek, kurang nya mnrt saya satu aja, susah bgt farming krna resource yg didapat kecil, persentase item ungu naikin saran di up persentase nya material, masa udh lvl dunia tinggi item ungu masi gacha, selain ini issue bagus semua sdh, saya yakin smua player Hsr jga ngerasain masalah yg sm terkait persoalan ini, Terima kasih Dev🫸🫷",1,1,1,-1
雑草ALIF,4,2023-06-15 23:43:38,Gamenya bagus overall bagus banget cuma ada satu hal yg buat saya kecewa yaitu bug layar hitam kadang suka error aja dan layar menjadi hitam kadang suka glitch,1,1,-1,-1
RYT ZQIE,3,2023-06-20 11:47:06,Bagus sebenernya nih game. Tapi yang saya ga suka itu akhir² ini sering bgt update². Gatau sih update apa tpi buat player yang make kuota seperti saya itu bikin saya muak juga meskipun size updatenya 100-200mb an,-1,-1,-1,-1
Erlangga EP,4,2023-06-11 17:20:46,Saya harap segera perbaiki bug dan perbaiki force close.. Semenjak update bug dan force close sering terjadi..mohon segera diperbaiki saya ingin main game ini... Device:Infinixhot12play,-1,-1,-1,-1
% Ansari,1,2023-06-07 9:54:19,Setalah update 1.1 pas buka menu karakter lag parah bahkan bisa nge-freeze. Tolong bagian itu dikembalikan kek dulu aj,-1,-1,-1,-1
Makan Ultimate Ini,3,2023-06-07 23:37:11,"Di versi kali ini saya jadi ga bsa login.kalo di versi sebelumnya masih mending karena cuman ngulang 3 kali dan bsa login,tapi di versi sekarang udah berkali kali saya ulang tetep aja ga bsa masuk",-1,-1,-1,-1
Ama Pratama,3,2023-06-10 3:41:45,"Game nya bagus tapi untuk login saya mengalami kesusahan yaitu tidak bisa login ke dalam game semenjak update versi 1.1 dan terus muncul tulisan seperti ini ""Login eror, silakan coba lagi nanti. Kode eror: 1001_3""",1,-1,-1,-1
Dayat Tullah,3,2023-06-21 0:41:38,"Auto modenya nyebelin parah, masa main DPSku(Selee + LC sign) cuma spam basic attack doang krn 2 support lainnya pake skill terus, 2x speed itupun tunggunya lama banget (bikin ngantuk), Atau bisa dibilang percuma invest best dps (untuk saat ini) mahal² kalo gameplay-nya gitu. Kasusnya sama waktu pake Tingyun, yaitu buffnya cuma bisa buff 1 karakter walaupun tingyunya pake skillnya 2-3 kali dikarakter yg berbeda alhasil main dps buffnya tidak uptime padahal durasi buffnya ada 3 turn, boros SP tuh",-1,-1,-1,-1
Rima Wijaya,1,2023-06-14 5:46:46,Tolong di perbaiki lagi masalah loading screen donwlondnya itu suka keluar keluar dan jugaa masalah fps itu ngeleg parah di HP saya mohon di perbaiki lagi saya udah coba login tapi keluar terus jadi kesel pas udah masuk ke gamenya keluar lagi ;(,-1,-1,-1,-1
Diyan Oktavianti,4,2023-06-11 2:02:40,"Over all bagus. Cm ga expect aja karakter di HI3 bakal muncul lg disini. Kaya kgk ada inovasi baru gt harus bawa karakter pendahulu. Walau iya emang ini sama2 hoyo. Tp masa Kaya ga ada kreatif lainnya. Its ok kl kaya GI marga yae sama raiden ada tp its not mei n sakura kan. Kl HSR bener2 yg di HI3 pindah universe. Malah tambahan karakter baru itu kya bs dihitung pake jari. Bagi beberapa yg emg suka HI3 pada seneng2 aja, tp beberapa yg bosenan dan udh bosen sama char HI3, malah ga akan lama main.",1,-1,-1,-1
Mager,3,2023-06-15 20:39:20,"Plis hoyoverse, fix bug efek refleksi, gk nyaman banget warna putih semua kalo di set ke medium, kalo bener² difix gue kasih b5 sama top up terus²an dah",-1,-1,-1,-1
obbi sanjaya,1,2023-06-11 22:36:57,"Pertama kali gacha di game Honkai, baru kali ini dpt ampas terus gachanya. Bukan karakter incaran yg dpt. Malah dptnya 2x karakter yg sama + light core. Kalau sekali lg dpt karakter yg sama, Auto uninstal dh.",-1,-1,-1,-1
Andevra,3,2023-06-15 4:24:32,"Untuk sekarang dari segi gameplay,alur cerita masih ok.cuma 1 masalah yang sering saya alami adalah susah login padahal main genshin yang lebih berat lancar aja.selalu susah login hsr di menu awal stuck ngulang terus sama saja.di buat YouTube lancar,genshin lancar tapi mau login hsr aja susah",1,-1,-1,-1
Ilham Alnurahman,3,2023-06-08 13:58:45,Gamenya bagus tapi sesudah update 7.1GB.gk bisa main di tambah. Sering juga error. keretanya cuman gerbong utama doank 🚂 padahal pas udah update bisa main 1hari.pas ke 2hari GK bisa,1,-1,-1,-1
AKUN DARKNESS FF,5,2023-06-07 10:24:24,"Saya menemukan bug di android secara detail mohon di fik sampai besok saya tunggu:knp ketika saya login hsr setelah selesai maintenaic malah ga bisa masuk game cuman ngulang² di loading doang,knp kereta di loading saya setengah² keliatan,udah lagi pas di suruh updet di playstore malah pas liat gb an hsr malah nurun dari 13gban/14 jadi 8gb lagi,padahal saya tidak pernah menghapus data hrsnya,dan juga pra unduh nya ga bisa lagi di unduh mohon banget di fik soalnya banyak yang pensi di android gara",-1,-1,-1,-1
한캠린Kena,3,2023-06-09 2:22:48,"maaf, saya berkali kali mengalami masalah login, storage saya fine fine saja.. Tapi tetap saja tidak bisa login. Saya serasa di scam, kenapa? saya sudah mengumpulkan stelar jade banyak banyak untuk Imbibitor Lunae tapi tidak bisa login, kan sia-sia saja. Tolong di fix, apakah ini bug atau apa?",-1,-1,-1,-1
Nabilatul Afiah Agus,5,2023-06-07 6:15:35,"Aku suka banget game nya,sistem gacha nya wangi,cocok bagi yang suka Harem,gameplay nya asik,musik nya bagus sesuai dengan suasana di cutscene. Overall,this is very good. I wanna eat this game.",1,1,1,-1
Ahmad Lutfan D,5,2023-06-07 11:56:29,"Gamenya seru asik, ramah buat f2p. Sejelek jeleknya gacha kalian, game ini udah ngasih Kalian karakter op gratisan yaitu mc nya sendiri. Ceritanya juga seru banget buat diikutin, penokohannya juga bagus",1,-1,-1,-1
Maulana Sidik,3,2023-06-14 8:34:13,Keseringan update. Mana ga dpt apa2. Iyatau gane baru tpi setidaknya klo update dpt apa kek. Ni ga dpt apa2 cuma ngabisin kuota. klo update bisa kali dpt mora apa jade ato bahan ascend saia sebagai player merasa tidak nyaman 🗿,-1,-1,-1,-1
